Model,accuracy,macro_f1,macro_precision,macro_recall
Random Forest,0.3110236220472441,0.24713470243778998,0.24063666533464587,0.2880803338549818
CNN,0.33070866141732286,0.26675106486793,0.25733465027802166,0.3015910276473657
AST,0.5275590551181102,0.5562653033241268,0.577215506485972,0.542696922274387
